,time,value
0,1982-01-01,95.5
1,1982-02-01,95.8
2,1982-03-01,97.4
3,1982-04-01,97.8
4,1982-05-01,97.6
5,1982-06-01,97.3
6,1982-07-01,96.7
7,1982-08-01,97.8
8,1982-09-01,99.4
9,1982-10-01,99.7
10,1982-11-01,99.6
11,1982-12-01,98.7
12,1983-01-01,97.4
13,1983-02-01,97.9
14,1983-03-01,99.2
15,1983-04-01,99.7
16,1983-05-01,100.0
17,1983-06-01,99.7
18,1983-07-01,99.4
19,1983-08-01,100.6
20,1983-09-01,102.2
21,1983-10-01,102.3
22,1983-11-01,102.3
23,1983-12-01,101.6
24,1984-01-01,100.1
25,1984-02-01,100.0
26,1984-03-01,101.3
27,1984-04-01,101.6
28,1984-05-01,101.4
29,1984-06-01,100.6
30,1984-07-01,100.2
31,1984-08-01,102.0
32,1984-09-01,104.1
33,1984-10-01,104.9
34,1984-11-01,104.6
35,1984-12-01,103.6
36,1985-01-01,101.9
37,1985-02-01,102.9
38,1985-03-01,104.7
39,1985-04-01,105.0
40,1985-05-01,104.7
41,1985-06-01,104.3
42,1985-07-01,103.4
43,1985-08-01,104.7
44,1985-09-01,106.9
45,1985-10-01,107.6
46,1985-11-01,107.7
47,1985-12-01,106.5
48,1986-01-01,104.5
49,1986-02-01,104.1
50,1986-03-01,105.2
51,1986-04-01,105.7
52,1986-05-01,105.2
53,1986-06-01,104.3
54,1986-07-01,103.6
55,1986-08-01,105.5
56,1986-09-01,108.1
57,1986-10-01,108.7
58,1986-11-01,108.6
59,1986-12-01,107.5
60,1987-01-01,105.6
61,1987-02-01,106.2
62,1987-03-01,109.7
63,1987-04-01,111.5
64,1987-05-01,111.1
65,1987-06-01,109.3
66,1987-07-01,107.3
67,1987-08-01,109.4
68,1987-09-01,113.3
69,1987-10-01,115.4
70,1987-11-01,115.4
71,1987-12-01,112.7
72,1988-01-01,110.4
73,1988-02-01,110.2
74,1988-03-01,114.3
75,1988-04-01,117.0
76,1988-05-01,116.3
77,1988-06-01,114.6
78,1988-07-01,112.7
79,1988-08-01,112.6
80,1988-09-01,117.8
81,1988-10-01,120.7
82,1988-11-01,119.9
83,1988-12-01,118.0
84,1989-01-01,115.3
85,1989-02-01,115.3
86,1989-03-01,119.3
87,1989-04-01,120.9
88,1989-05-01,120.4
89,1989-06-01,117.8
90,1989-07-01,115.0
91,1989-08-01,115.0
92,1989-09-01,120.0
93,1989-10-01,122.7
94,1989-11-01,122.1
95,1989-12-01,119.2
96,1990-01-01,116.7
97,1990-02-01,120.4
98,1990-03-01,125.4
99,1990-04-01,126.7
100,1990-05-01,125.5
101,1990-06-01,123.3
102,1990-07-01,120.8
103,1990-08-01,122.2
104,1990-09-01,126.8
105,1990-10-01,128.4
106,1990-11-01,127.5
107,1990-12-01,125.3
108,1991-01-01,123.8
109,1991-02-01,126.2
110,1991-03-01,128.8
111,1991-04-01,130.1
112,1991-05-01,129.4
113,1991-06-01,126.9
114,1991-07-01,125.2
115,1991-08-01,127.6
116,1991-09-01,131.3
117,1991-10-01,132.7
118,1991-11-01,132.9
119,1991-12-01,129.6
120,1992-01-01,127.9
121,1992-02-01,130.2
122,1992-03-01,133.4
123,1992-04-01,133.3
124,1992-05-01,133.1
125,1992-06-01,131.0
126,1992-07-01,129.2
127,1992-08-01,130.2
128,1992-09-01,133.3
129,1992-10-01,135.0
130,1992-11-01,134.5
131,1992-12-01,131.4
132,1993-01-01,129.7
133,1993-02-01,133.4
134,1993-03-01,136.2
135,1993-04-01,136.9
136,1993-05-01,135.0
137,1993-06-01,131.9
138,1993-07-01,129.4
139,1993-08-01,131.9
140,1993-09-01,134.6
141,1993-10-01,136.1
142,1993-11-01,136.2
143,1993-12-01,132.6
144,1994-01-01,130.4
145,1994-02-01,132.4
146,1994-03-01,136.1
147,1994-04-01,136.4
148,1994-05-01,135.6
149,1994-06-01,133.8
150,1994-07-01,130.9
151,1994-08-01,131.1
152,1994-09-01,134.2
153,1994-10-01,135.2
154,1994-11-01,134.2
155,1994-12-01,130.5
156,1995-01-01,129.4
157,1995-02-01,131.1
158,1995-03-01,134.4
159,1995-04-01,134.8
160,1995-05-01,133.4
161,1995-06-01,130.5
162,1995-07-01,128.3
163,1995-08-01,130.1
164,1995-09-01,132.7
165,1995-10-01,134.5
166,1995-11-01,133.7
167,1995-12-01,130.6
168,1996-01-01,130.0
169,1996-02-01,131.2
170,1996-03-01,134.8
171,1996-04-01,134.9
172,1996-05-01,133.7
173,1996-06-01,130.8
174,1996-07-01,128.3
175,1996-08-01,128.1
176,1996-09-01,131.5
177,1996-10-01,133.4
178,1996-11-01,133.4
179,1996-12-01,130.3
180,1997-01-01,129.6
181,1997-02-01,131.9
182,1997-03-01,134.5
183,1997-04-01,136.1
184,1997-05-01,135.3
185,1997-06-01,132.4
186,1997-07-01,130.2
187,1997-08-01,130.0
188,1997-09-01,133.0
189,1997-10-01,134.9
190,1997-11-01,134.7
191,1997-12-01,131.6
192,1998-01-01,129.8
193,1998-02-01,131.9
194,1998-03-01,134.9
195,1998-04-01,135.8
196,1998-05-01,135.3
197,1998-06-01,132.5
198,1998-07-01,129.6
199,1998-08-01,131.6
200,1998-09-01,133.6
201,1998-10-01,135.6
202,1998-11-01,135.0
203,1998-12-01,130.7
204,1999-01-01,127.9
205,1999-02-01,129.7
206,1999-03-01,132.7
207,1999-04-01,135.2
208,1999-05-01,134.2
209,1999-06-01,130.9
210,1999-07-01,127.3
211,1999-08-01,127.5
212,1999-09-01,131.8
213,1999-10-01,134.6
214,1999-11-01,133.6
215,1999-12-01,130.1
216,2000-01-01,126.8
217,2000-02-01,129.2
218,2000-03-01,132.5
219,2000-04-01,133.3
220,2000-05-01,132.2
221,2000-06-01,128.3
222,2000-07-01,124.5
223,2000-08-01,125.3
224,2000-09-01,130.4
225,2000-10-01,132.8
226,2000-11-01,131.8
227,2000-12-01,127.8
228,2001-01-01,125.4
229,2001-02-01,128.4
230,2001-03-01,132.2
231,2001-04-01,131.9
232,2001-05-01,129.8
233,2001-06-01,126.3
234,2001-07-01,122.6
235,2001-08-01,122.6
236,2001-09-01,126.8
237,2001-10-01,129.5
238,2001-11-01,128.0
239,2001-12-01,123.7
240,2002-01-01,120.4
241,2002-02-01,123.5
242,2002-03-01,128.2
243,2002-04-01,128.8
244,2002-05-01,127.1
245,2002-06-01,122.7
246,2002-07-01,118.7
247,2002-08-01,120.5
248,2002-09-01,124.6
249,2002-10-01,126.8
250,2002-11-01,125.5
251,2002-12-01,121.5
252,2003-01-01,118.1
253,2003-02-01,120.6
254,2003-03-01,123.6
255,2003-04-01,123.9
256,2003-05-01,122.5
257,2003-06-01,119.5
258,2003-07-01,116.2
259,2003-08-01,117.2
260,2003-09-01,122.0
261,2003-10-01,124.8
262,2003-11-01,123.1
263,2003-12-01,119.0
264,2004-01-01,115.8
265,2004-02-01,118.6
266,2004-03-01,123.5
267,2004-04-01,124.3
268,2004-05-01,123.4
269,2004-06-01,120.1
270,2004-07-01,115.9
271,2004-08-01,116.5
272,2004-09-01,121.2
273,2004-10-01,124.1
274,2004-11-01,123.0
275,2004-12-01,118.8
276,2005-01-01,116.1
277,2005-02-01,118.7
278,2005-03-01,123.5
279,2005-04-01,123.7
280,2005-05-01,122.4
281,2005-06-01,118.3
282,2005-07-01,113.8
283,2005-08-01,115.8
284,2005-09-01,120.5
285,2005-10-01,122.7
286,2005-11-01,121.5
287,2005-12-01,117.5
288,2006-01-01,114.9
289,2006-02-01,116.6
290,2006-03-01,122.0
291,2006-04-01,123.4
292,2006-05-01,122.4
293,2006-06-01,118.9
294,2006-07-01,113.8
295,2006-08-01,116.1
296,2006-09-01,121.7
297,2006-10-01,123.3
298,2006-11-01,121.7
299,2006-12-01,118.6
300,2007-01-01,115.988
301,2007-02-01,119.017
302,2007-03-01,122.582
