,time,value
0,1994-01-01,6.5
1,1994-02-01,6.5
2,1994-03-01,6.7
3,1994-04-01,6.5
4,1994-05-01,6.5
5,1994-06-01,6.5
6,1994-07-01,6.5
7,1994-08-01,6.2
8,1994-09-01,5.9
9,1994-10-01,5.8
10,1994-11-01,5.8
11,1994-12-01,5.8
12,1995-01-01,5.8
13,1995-02-01,6.0
14,1995-03-01,5.9
15,1995-04-01,5.9
16,1995-05-01,5.7
17,1995-06-01,5.6
18,1995-07-01,5.6
19,1995-08-01,5.9
20,1995-09-01,5.6
21,1995-10-01,5.5
22,1995-11-01,5.5
23,1995-12-01,5.6
24,1996-01-01,5.6
25,1996-02-01,5.3
26,1996-03-01,5.4
27,1996-04-01,5.5
28,1996-05-01,5.5
29,1996-06-01,5.5
30,1996-07-01,5.4
31,1996-08-01,5.3
32,1996-09-01,5.0
33,1996-10-01,5.0
34,1996-11-01,5.0
35,1996-12-01,4.9
36,1997-01-01,4.9
37,1997-02-01,4.9
38,1997-03-01,4.8
39,1997-04-01,4.7
40,1997-05-01,4.9
41,1997-06-01,4.9
42,1997-07-01,5.0
43,1997-08-01,5.0
44,1997-09-01,5.0
45,1997-10-01,5.2
46,1997-11-01,5.0
47,1997-12-01,5.2
48,1998-01-01,5.0
49,1998-02-01,5.0
50,1998-03-01,5.1
51,1998-04-01,5.3
52,1998-05-01,5.3
53,1998-06-01,5.1
54,1998-07-01,5.0
55,1998-08-01,4.9
56,1998-09-01,4.7
57,1998-10-01,4.6
58,1998-11-01,4.7
59,1998-12-01,4.7
60,1999-01-01,4.7
61,1999-02-01,4.9
62,1999-03-01,4.9
63,1999-04-01,4.8
64,1999-05-01,4.7
65,1999-06-01,4.9
66,1999-07-01,5.0
67,1999-08-01,4.8
68,1999-09-01,4.9
69,1999-10-01,4.9
70,1999-11-01,4.5
71,1999-12-01,4.4
72,2000-01-01,5.0
73,2000-02-01,5.0
74,2000-03-01,4.9
75,2000-04-01,4.9
76,2000-05-01,5.0
77,2000-06-01,5.5
78,2000-07-01,5.5
79,2000-08-01,5.1
80,2000-09-01,5.0
81,2000-10-01,5.2
82,2000-11-01,5.6
83,2000-12-01,5.7
84,2001-01-01,5.1
85,2001-02-01,4.9
86,2001-03-01,5.0
87,2001-04-01,4.9
88,2001-05-01,5.0
89,2001-06-01,4.8
90,2001-07-01,4.8
91,2001-08-01,5.8
92,2001-09-01,5.9
93,2001-10-01,6.0
94,2001-11-01,6.0
95,2001-12-01,5.6
96,2002-01-01,5.9
97,2002-02-01,6.2
98,2002-03-01,6.2
99,2002-04-01,6.2
100,2002-05-01,6.1
101,2002-06-01,6.3
102,2002-07-01,6.5
103,2002-08-01,6.4
104,2002-09-01,6.5
105,2002-10-01,6.3
106,2002-11-01,6.3
107,2002-12-01,6.6
108,2003-01-01,6.5
109,2003-02-01,6.3
110,2003-03-01,6.3
111,2003-04-01,6.4
112,2003-05-01,6.4
113,2003-06-01,6.2
114,2003-07-01,6.3
115,2003-08-01,7.2
116,2003-09-01,7.0
117,2003-10-01,7.1
118,2003-11-01,6.9
119,2003-12-01,7.2
120,2004-01-01,7.3
121,2004-02-01,7.2
122,2004-03-01,7.2
123,2004-04-01,7.2
124,2004-05-01,7.2
125,2004-06-01,7.3
126,2004-07-01,7.2
127,2004-08-01,6.5
128,2004-09-01,6.6
129,2004-10-01,6.6
130,2004-11-01,6.8
131,2004-12-01,6.5
132,2005-01-01,6.2
133,2005-02-01,6.3
134,2005-03-01,6.2
135,2005-04-01,6.3
136,2005-05-01,6.4
137,2005-06-01,6.3
138,2005-07-01,6.5
139,2005-08-01,6.1
140,2005-09-01,6.2
141,2005-10-01,6.1
142,2005-11-01,6.1
143,2005-12-01,6.1
144,2006-01-01,6.4
145,2006-02-01,6.2
146,2006-03-01,6.1
147,2006-04-01,6.1
148,2006-05-01,6.0
149,2006-06-01,6.0
150,2006-07-01,5.9
151,2006-08-01,6.5
152,2006-09-01,6.0
153,2006-10-01,6.2
154,2006-11-01,6.3
155,2006-12-01,6.3
156,2007-01-01,5.9
157,2007-02-01,6.0
158,2007-03-01,6.1
159,2007-04-01,6.0
160,2007-05-01,6.0
161,2007-06-01,5.7
162,2007-07-01,5.7
163,2007-08-01,5.5
164,2007-09-01,5.3
165,2007-10-01,5.5
166,2007-11-01,5.6
167,2007-12-01,5.6
168,2008-01-01,5.9
169,2008-02-01,5.7
170,2008-03-01,5.5
171,2008-04-01,5.7
172,2008-05-01,5.7
173,2008-06-01,5.8
174,2008-07-01,5.7
175,2008-08-01,6.0
176,2008-09-01,6.1
177,2008-10-01,5.9
178,2008-11-01,5.7
179,2008-12-01,5.6
180,2009-01-01,5.5
181,2009-02-01,5.5
182,2009-03-01,5.6
183,2009-04-01,5.4
184,2009-05-01,5.5
185,2009-06-01,5.5
186,2009-07-01,5.6
187,2009-08-01,5.4
188,2009-09-01,5.1
189,2009-10-01,4.9
190,2009-11-01,4.8
191,2009-12-01,4.7
192,2010-01-01,4.6
193,2010-02-01,4.7
194,2010-03-01,4.9
195,2010-04-01,5.0
196,2010-05-01,4.8
197,2010-06-01,4.8
198,2010-07-01,4.8
199,2010-08-01,4.3
200,2010-09-01,4.0
201,2010-10-01,3.7
202,2010-11-01,3.8
203,2010-12-01,3.9
204,2011-01-01,4.2
205,2011-02-01,4.1
206,2011-03-01,4.0
207,2011-04-01,3.8
208,2011-05-01,3.9
209,2011-06-01,3.8
210,2011-07-01,4.0
211,2011-08-01,4.4
