,time,value
0,1982-01-01,95.8
1,1982-02-01,96.6
2,1982-03-01,96.4
3,1982-04-01,96.8
4,1982-05-01,97.3
5,1982-06-01,98.1
6,1982-07-01,98.3
7,1982-08-01,97.9
8,1982-09-01,98.0
9,1982-10-01,97.8
10,1982-11-01,97.6
11,1982-12-01,97.6
12,1983-01-01,98.2
13,1983-02-01,98.5
14,1983-03-01,99.0
15,1983-04-01,99.5
16,1983-05-01,99.7
17,1983-06-01,99.5
18,1983-07-01,99.5
19,1983-08-01,99.6
20,1983-09-01,99.7
21,1983-10-01,99.8
22,1983-11-01,99.7
23,1983-12-01,100.2
24,1984-01-01,102.0
25,1984-02-01,103.0
26,1984-03-01,103.0
27,1984-04-01,103.0
28,1984-05-01,102.7
29,1984-06-01,102.9
30,1984-07-01,103.3
31,1984-08-01,103.9
32,1984-09-01,103.7
33,1984-10-01,103.7
34,1984-11-01,103.6
35,1984-12-01,104.0
36,1985-01-01,104.7
37,1985-02-01,105.5
38,1985-03-01,105.5
39,1985-04-01,105.5
40,1985-05-01,105.3
41,1985-06-01,105.4
42,1985-07-01,105.5
43,1985-08-01,105.5
44,1985-09-01,105.6
45,1985-10-01,105.6
46,1985-11-01,106.0
47,1985-12-01,106.7
48,1986-01-01,107.6
49,1986-02-01,107.5
50,1986-03-01,107.5
51,1986-04-01,107.7
52,1986-05-01,108.0
53,1986-06-01,108.1
54,1986-07-01,109.1
55,1986-08-01,110.0
56,1986-09-01,110.1
57,1986-10-01,110.3
58,1986-11-01,110.6
59,1986-12-01,110.8
60,1987-01-01,112.1
61,1987-02-01,112.5
62,1987-03-01,112.5
63,1987-04-01,112.8
64,1987-05-01,113.3
65,1987-06-01,113.8
66,1987-07-01,113.7
67,1987-08-01,113.8
68,1987-09-01,114.1
69,1987-10-01,114.3
70,1987-11-01,114.2
71,1987-12-01,114.7
72,1988-01-01,115.7
73,1988-02-01,115.7
74,1988-03-01,115.9
75,1988-04-01,116.6
76,1988-05-01,117.0
77,1988-06-01,117.6
78,1988-07-01,118.8
79,1988-08-01,119.4
80,1988-09-01,120.2
81,1988-10-01,120.3
82,1988-11-01,120.2
83,1988-12-01,120.7
84,1989-01-01,122.2
85,1989-02-01,122.9
86,1989-03-01,123.5
87,1989-04-01,124.2
88,1989-05-01,124.9
89,1989-06-01,125.0
90,1989-07-01,125.5
91,1989-08-01,125.8
92,1989-09-01,126.1
93,1989-10-01,126.5
94,1989-11-01,126.9
95,1989-12-01,127.4
96,1990-01-01,130.4
97,1990-02-01,131.3
98,1990-03-01,131.5
99,1990-04-01,131.3
100,1990-05-01,131.3
101,1990-06-01,132.0
102,1990-07-01,132.7
103,1990-08-01,132.9
104,1990-09-01,133.2
105,1990-10-01,133.6
106,1990-11-01,134.0
107,1990-12-01,134.2
108,1991-01-01,135.8
109,1991-02-01,135.5
110,1991-03-01,135.8
111,1991-04-01,136.7
112,1991-05-01,136.8
113,1991-06-01,137.2
114,1991-07-01,136.5
115,1991-08-01,136.0
116,1991-09-01,136.0
117,1991-10-01,135.8
118,1991-11-01,136.2
119,1991-12-01,136.7
120,1992-01-01,137.2
121,1992-02-01,137.5
122,1992-03-01,138.1
123,1992-04-01,138.1
124,1992-05-01,137.4
125,1992-06-01,137.4
126,1992-07-01,137.2
127,1992-08-01,138.0
128,1992-09-01,138.5
129,1992-10-01,138.3
130,1992-11-01,138.3
131,1992-12-01,138.7
