,time,value
0,1982-01-01,94.3
1,1982-02-01,94.6
2,1982-03-01,94.4
3,1982-04-01,95.3
4,1982-05-01,96.6
5,1982-06-01,97.8
6,1982-07-01,98.3
7,1982-08-01,98.6
8,1982-09-01,98.4
9,1982-10-01,98.8
10,1982-11-01,98.2
11,1982-12-01,97.4
12,1983-01-01,97.9
13,1983-02-01,98.1
14,1983-03-01,98.1
15,1983-04-01,98.6
16,1983-05-01,99.1
17,1983-06-01,99.5
18,1983-07-01,99.9
19,1983-08-01,100.0
20,1983-09-01,100.5
21,1983-10-01,100.6
22,1983-11-01,100.7
23,1983-12-01,100.8
24,1984-01-01,101.4
25,1984-02-01,101.9
26,1984-03-01,102.1
27,1984-04-01,102.6
28,1984-05-01,103.0
29,1984-06-01,103.5
30,1984-07-01,104.1
31,1984-08-01,104.5
32,1984-09-01,105.1
33,1984-10-01,105.1
34,1984-11-01,105.0
35,1984-12-01,105.1
36,1985-01-01,105.3
37,1985-02-01,105.8
38,1985-03-01,106.1
39,1985-04-01,106.5
40,1985-05-01,107.3
41,1985-06-01,107.9
42,1985-07-01,108.3
43,1985-08-01,108.7
44,1985-09-01,108.9
45,1985-10-01,109.1
46,1985-11-01,109.3
47,1985-12-01,109.6
48,1986-01-01,109.9
49,1986-02-01,109.8
50,1986-03-01,109.9
51,1986-04-01,110.2
52,1986-05-01,110.4
53,1986-06-01,111.2
54,1986-07-01,111.3
55,1986-08-01,111.6
56,1986-09-01,112.0
57,1986-10-01,111.8
58,1986-11-01,111.4
59,1986-12-01,111.5
60,1987-01-01,112.0
61,1987-02-01,112.4
62,1987-03-01,112.8
63,1987-04-01,113.2
64,1987-05-01,113.6
65,1987-06-01,114.3
66,1987-07-01,114.7
67,1987-08-01,115.4
68,1987-09-01,115.6
69,1987-10-01,115.5
70,1987-11-01,115.5
71,1987-12-01,115.6
72,1988-01-01,116.2
73,1988-02-01,116.6
74,1988-03-01,117.0
75,1988-04-01,117.3
76,1988-05-01,117.7
77,1988-06-01,118.6
78,1988-07-01,119.1
79,1988-08-01,119.5
80,1988-09-01,119.9
81,1988-10-01,119.9
82,1988-11-01,119.9
83,1988-12-01,120.2
84,1989-01-01,120.7
85,1989-02-01,121.1
86,1989-03-01,121.5
87,1989-04-01,121.6
88,1989-05-01,122.1
89,1989-06-01,122.9
90,1989-07-01,123.9
91,1989-08-01,124.2
92,1989-09-01,124.3
93,1989-10-01,124.4
94,1989-11-01,124.5
95,1989-12-01,124.9
96,1990-01-01,125.9
97,1990-02-01,126.1
98,1990-03-01,126.8
99,1990-04-01,126.8
100,1990-05-01,127.1
101,1990-06-01,128.3
102,1990-07-01,129.2
103,1990-08-01,130.2
104,1990-09-01,130.5
105,1990-10-01,130.6
106,1990-11-01,130.4
107,1990-12-01,130.5
108,1991-01-01,131.8
109,1991-02-01,132.4
110,1991-03-01,132.6
111,1991-04-01,132.5
112,1991-05-01,132.8
113,1991-06-01,133.4
114,1991-07-01,134.2
115,1991-08-01,134.5
116,1991-09-01,134.7
117,1991-10-01,134.7
118,1991-11-01,134.7
119,1991-12-01,135.0
120,1992-01-01,135.7
121,1992-02-01,136.1
122,1992-03-01,136.6
123,1992-04-01,136.5
124,1992-05-01,136.7
125,1992-06-01,137.7
126,1992-07-01,138.3
127,1992-08-01,138.6
128,1992-09-01,138.4
129,1992-10-01,138.5
130,1992-11-01,138.5
131,1992-12-01,138.5
132,1993-01-01,139.3
133,1993-02-01,139.7
134,1993-03-01,140.2
135,1993-04-01,140.4
136,1993-05-01,140.5
137,1993-06-01,141.5
138,1993-07-01,141.9
139,1993-08-01,142.3
140,1993-09-01,142.3
141,1993-10-01,142.2
142,1993-11-01,142.0
143,1993-12-01,142.3
144,1994-01-01,142.9
145,1994-02-01,143.7
146,1994-03-01,144.1
147,1994-04-01,143.9
148,1994-05-01,144.1
149,1994-06-01,144.9
150,1994-07-01,145.4
151,1994-08-01,145.9
152,1994-09-01,145.8
153,1994-10-01,145.7
154,1994-11-01,145.5
155,1994-12-01,145.4
156,1995-01-01,146.4
157,1995-02-01,147.0
158,1995-03-01,147.4
159,1995-04-01,147.4
160,1995-05-01,147.6
161,1995-06-01,148.5
162,1995-07-01,149.2
163,1995-08-01,149.6
164,1995-09-01,149.5
165,1995-10-01,149.7
166,1995-11-01,149.4
167,1995-12-01,149.7
168,1996-01-01,150.6
169,1996-02-01,151.2
170,1996-03-01,151.7
171,1996-04-01,151.8
172,1996-05-01,152.0
173,1996-06-01,152.7
174,1996-07-01,153.6
175,1996-08-01,154.0
176,1996-09-01,153.9
177,1996-10-01,154.0
178,1996-11-01,153.9
179,1996-12-01,154.0
180,1997-01-01,155.1
181,1997-02-01,155.8
182,1997-03-01,155.9
183,1997-04-01,155.8
184,1997-05-01,155.9
185,1997-06-01,156.9
186,1997-07-01,157.5
187,1997-08-01,157.6
188,1997-09-01,157.7
189,1997-10-01,157.7
190,1997-11-01,157.7
191,1997-12-01,157.7
192,1998-01-01,158.3
193,1998-02-01,158.8
194,1998-03-01,159.2
195,1998-04-01,159.5
196,1998-05-01,159.7
197,1998-06-01,160.6
198,1998-07-01,161.2
199,1998-08-01,161.5
200,1998-09-01,161.5
201,1998-10-01,161.4
202,1998-11-01,161.3
203,1998-12-01,161.3
204,1999-01-01,161.8
205,1999-02-01,162.3
206,1999-03-01,162.8
207,1999-04-01,163.0
208,1999-05-01,163.0
209,1999-06-01,164.1
210,1999-07-01,164.7
211,1999-08-01,165.0
212,1999-09-01,165.2
213,1999-10-01,165.0
214,1999-11-01,164.9
215,1999-12-01,164.8
216,2000-01-01,166.0
217,2000-02-01,167.1
218,2000-03-01,167.8
219,2000-04-01,167.9
220,2000-05-01,168.1
221,2000-06-01,169.6
222,2000-07-01,170.6
223,2000-08-01,170.9
224,2000-09-01,171.4
225,2000-10-01,171.7
226,2000-11-01,171.6
227,2000-12-01,171.9
228,2001-01-01,174.1
229,2001-02-01,174.7
230,2001-03-01,175.4
