,time,value
0,1982-01-01,87.1
1,1982-02-01,87.7
2,1982-03-01,88.4
3,1982-04-01,89.0
4,1982-05-01,89.4
5,1982-06-01,89.7
6,1982-07-01,90.2
7,1982-08-01,90.5
8,1982-09-01,93.5
9,1982-10-01,95.1
10,1982-11-01,96.0
11,1982-12-01,97.0
12,1983-01-01,98.1
13,1983-02-01,98.7
14,1983-03-01,98.8
15,1983-04-01,99.3
16,1983-05-01,99.4
17,1983-06-01,99.7
18,1983-07-01,100.8
19,1983-08-01,101.3
20,1983-09-01,103.2
21,1983-10-01,104.0
22,1983-11-01,104.5
23,1983-12-01,104.7
24,1984-01-01,105.3
25,1984-02-01,105.7
26,1984-03-01,105.9
27,1984-04-01,106.1
28,1984-05-01,106.3
29,1984-06-01,106.7
30,1984-07-01,107.4
31,1984-08-01,107.7
32,1984-09-01,110.3
33,1984-10-01,110.7
34,1984-11-01,110.9
35,1984-12-01,111.0
36,1985-01-01,111.9
37,1985-02-01,112.3
38,1985-03-01,112.6
39,1985-04-01,112.8
40,1985-05-01,113.0
41,1985-06-01,113.2
42,1985-07-01,113.9
43,1985-08-01,114.3
44,1985-09-01,116.8
45,1985-10-01,117.4
46,1985-11-01,117.5
47,1985-12-01,118.0
48,1986-01-01,118.9
49,1986-02-01,119.3
50,1986-03-01,119.6
51,1986-04-01,119.8
52,1986-05-01,119.9
53,1986-06-01,120.1
54,1986-07-01,120.9
55,1986-08-01,121.4
56,1986-09-01,123.8
57,1986-10-01,124.3
58,1986-11-01,124.4
59,1986-12-01,124.5
60,1987-01-01,125.5
61,1987-02-01,126.1
62,1987-03-01,126.3
63,1987-04-01,126.6
64,1987-05-01,126.9
65,1987-06-01,127.2
66,1987-07-01,128.0
67,1987-08-01,128.5
68,1987-09-01,131.1
69,1987-10-01,131.6
70,1987-11-01,131.8
71,1987-12-01,132.1
72,1988-01-01,133.4
73,1988-02-01,134.2
74,1988-03-01,134.6
75,1988-04-01,134.8
76,1988-05-01,135.1
77,1988-06-01,135.5
78,1988-07-01,136.5
79,1988-08-01,137.5
80,1988-09-01,140.0
81,1988-10-01,140.6
82,1988-11-01,141.0
83,1988-12-01,141.3
84,1989-01-01,143.4
85,1989-02-01,144.1
86,1989-03-01,144.4
87,1989-04-01,144.7
88,1989-05-01,145.4
89,1989-06-01,146.3
90,1989-07-01,147.3
91,1989-08-01,148.7
92,1989-09-01,151.2
93,1989-10-01,151.8
94,1989-11-01,151.9
95,1989-12-01,152.9
96,1990-01-01,154.0
97,1990-02-01,154.7
98,1990-03-01,155.2
99,1990-04-01,155.8
100,1990-05-01,156.6
101,1990-06-01,157.8
102,1990-07-01,159.2
103,1990-08-01,160.4
104,1990-09-01,162.6
105,1990-10-01,163.2
106,1990-11-01,163.6
107,1990-12-01,164.5
108,1991-01-01,166.5
109,1991-02-01,167.4
110,1991-03-01,167.9
111,1991-04-01,168.8
112,1991-05-01,169.1
113,1991-06-01,170.0
114,1991-07-01,170.8
115,1991-08-01,172.2
116,1991-09-01,175.8
117,1991-10-01,176.2
118,1991-11-01,176.9
119,1991-12-01,177.6
120,1992-01-01,178.6
121,1992-02-01,179.4
122,1992-03-01,179.8
123,1992-04-01,180.3
124,1992-05-01,181.3
125,1992-06-01,181.5
126,1992-07-01,182.3
127,1992-08-01,183.9
128,1992-09-01,187.0
129,1992-10-01,187.9
130,1992-11-01,188.0
131,1992-12-01,189.1
132,1993-01-01,191.0
133,1993-02-01,191.5
134,1993-03-01,192.0
135,1993-04-01,192.4
136,1993-05-01,193.2
137,1993-06-01,193.1
138,1993-07-01,193.7
139,1993-08-01,193.4
140,1993-09-01,193.1
141,1993-10-01,193.4
142,1993-11-01,193.8
143,1993-12-01,194.2
144,1994-01-01,195.1
145,1994-02-01,195.2
146,1994-03-01,195.5
147,1994-04-01,196.4
148,1994-05-01,197.1
149,1994-06-01,197.6
150,1994-07-01,198.0
151,1994-08-01,199.4
152,1994-09-01,201.4
153,1994-10-01,201.9
154,1994-11-01,202.3
155,1994-12-01,202.4
156,1995-01-01,203.0
157,1995-02-01,204.1
158,1995-03-01,204.0
159,1995-04-01,204.3
160,1995-05-01,204.9
161,1995-06-01,205.3
162,1995-07-01,205.7
163,1995-08-01,207.7
164,1995-09-01,210.2
165,1995-10-01,210.7
166,1995-11-01,211.2
167,1995-12-01,211.1
168,1996-01-01,212.0
169,1996-02-01,212.6
170,1996-03-01,213.0
171,1996-04-01,213.3
172,1996-05-01,214.1
173,1996-06-01,214.0
174,1996-07-01,214.6
175,1996-08-01,216.3
176,1996-09-01,218.3
177,1996-10-01,218.8
178,1996-11-01,219.2
179,1996-12-01,218.7
180,1997-01-01,220.0
181,1997-02-01,220.7
182,1997-03-01,221.4
183,1997-04-01,222.7
184,1997-05-01,223.1
185,1997-06-01,223.1
186,1997-07-01,223.5
187,1997-08-01,225.7
188,1997-09-01,228.1
189,1997-10-01,229.4
190,1997-11-01,229.9
191,1997-12-01,230.1
192,1998-01-01,231.3
193,1998-02-01,233.1
194,1998-03-01,232.4
195,1998-04-01,234.7
196,1998-05-01,236.7
197,1998-06-01,236.4
198,1998-07-01,237.8
199,1998-08-01,238.0
200,1998-09-01,240.4
201,1998-10-01,241.3
202,1998-11-01,240.5
203,1998-12-01,250.3
204,1999-01-01,255.4
205,1999-02-01,255.0
206,1999-03-01,253.3
207,1999-04-01,256.1
208,1999-05-01,255.8
209,1999-06-01,255.9
210,1999-07-01,258.3
211,1999-08-01,257.6
212,1999-09-01,262.6
213,1999-10-01,263.2
214,1999-11-01,263.0
215,1999-12-01,263.0
216,2000-01-01,264.7
217,2000-02-01,266.7
218,2000-03-01,268.0
219,2000-04-01,271.9
220,2000-05-01,270.2
221,2000-06-01,269.6
222,2000-07-01,272.2
223,2000-08-01,271.6
224,2000-09-01,274.7
225,2000-10-01,273.0
226,2000-11-01,276.2
227,2000-12-01,274.0
