,time,value
0,1982-01-01,94.3
1,1982-02-01,94.6
2,1982-03-01,94.5
3,1982-04-01,94.9
4,1982-05-01,95.8
5,1982-06-01,97.0
6,1982-07-01,97.5
7,1982-08-01,97.7
8,1982-09-01,97.9
9,1982-10-01,98.2
10,1982-11-01,98.0
11,1982-12-01,97.6
12,1983-01-01,97.8
13,1983-02-01,97.9
14,1983-03-01,97.9
15,1983-04-01,98.6
16,1983-05-01,99.2
17,1983-06-01,99.5
18,1983-07-01,99.9
19,1983-08-01,100.2
20,1983-09-01,100.7
21,1983-10-01,101.0
22,1983-11-01,101.2
23,1983-12-01,101.3
24,1984-01-01,101.9
25,1984-02-01,102.4
26,1984-03-01,102.6
27,1984-04-01,103.1
28,1984-05-01,103.4
29,1984-06-01,103.7
30,1984-07-01,104.1
31,1984-08-01,104.5
32,1984-09-01,105.0
33,1984-10-01,105.3
34,1984-11-01,105.3
35,1984-12-01,105.3
36,1985-01-01,105.5
37,1985-02-01,106.0
38,1985-03-01,106.4
39,1985-04-01,106.9
40,1985-05-01,107.3
41,1985-06-01,107.6
42,1985-07-01,107.8
43,1985-08-01,108.0
44,1985-09-01,108.3
45,1985-10-01,108.7
46,1985-11-01,109.0
47,1985-12-01,109.3
48,1986-01-01,109.6
49,1986-02-01,109.3
50,1986-03-01,108.8
51,1986-04-01,108.6
52,1986-05-01,108.9
53,1986-06-01,109.5
54,1986-07-01,109.5
55,1986-08-01,109.7
56,1986-09-01,110.2
57,1986-10-01,110.3
58,1986-11-01,110.4
59,1986-12-01,110.5
60,1987-01-01,111.2
61,1987-02-01,111.6
62,1987-03-01,112.1
63,1987-04-01,112.7
64,1987-05-01,113.1
65,1987-06-01,113.5
66,1987-07-01,113.8
67,1987-08-01,114.4
68,1987-09-01,115.0
69,1987-10-01,115.3
70,1987-11-01,115.4
71,1987-12-01,115.4
72,1988-01-01,115.7
73,1988-02-01,116.0
74,1988-03-01,116.5
75,1988-04-01,117.1
76,1988-05-01,117.5
77,1988-06-01,118.0
78,1988-07-01,118.5
79,1988-08-01,119.0
80,1988-09-01,119.8
81,1988-10-01,120.2
82,1988-11-01,120.3
83,1988-12-01,120.5
84,1989-01-01,121.1
85,1989-02-01,121.6
86,1989-03-01,122.3
87,1989-04-01,123.1
88,1989-05-01,123.8
89,1989-06-01,124.1
90,1989-07-01,124.4
91,1989-08-01,124.6
92,1989-09-01,125.0
93,1989-10-01,125.6
94,1989-11-01,125.9
95,1989-12-01,126.1
96,1990-01-01,127.4
97,1990-02-01,128.0
98,1990-03-01,128.7
99,1990-04-01,128.9
100,1990-05-01,129.2
101,1990-06-01,129.9
102,1990-07-01,130.4
103,1990-08-01,131.6
104,1990-09-01,132.7
105,1990-10-01,133.5
106,1990-11-01,133.8
107,1990-12-01,133.8
108,1991-01-01,134.6
109,1991-02-01,134.8
110,1991-03-01,135.0
111,1991-04-01,135.2
112,1991-05-01,135.6
113,1991-06-01,136.0
114,1991-07-01,136.2
115,1991-08-01,136.6
116,1991-09-01,137.2
117,1991-10-01,137.4
118,1991-11-01,137.8
119,1991-12-01,137.9
120,1992-01-01,138.1
121,1992-02-01,138.6
122,1992-03-01,139.3
123,1992-04-01,139.5
124,1992-05-01,139.7
125,1992-06-01,140.2
126,1992-07-01,140.5
127,1992-08-01,140.9
128,1992-09-01,141.3
129,1992-10-01,141.8
130,1992-11-01,142.0
131,1992-12-01,141.9
132,1993-01-01,142.6
133,1993-02-01,143.1
134,1993-03-01,143.6
135,1993-04-01,144.0
136,1993-05-01,144.2
137,1993-06-01,144.4
138,1993-07-01,144.4
139,1993-08-01,144.8
140,1993-09-01,145.1
141,1993-10-01,145.7
142,1993-11-01,145.8
143,1993-12-01,145.8
144,1994-01-01,146.2
145,1994-02-01,146.7
146,1994-03-01,147.2
147,1994-04-01,147.4
148,1994-05-01,147.5
149,1994-06-01,148.0
150,1994-07-01,148.4
151,1994-08-01,149.0
152,1994-09-01,149.4
153,1994-10-01,149.5
154,1994-11-01,149.7
155,1994-12-01,149.7
156,1995-01-01,150.3
157,1995-02-01,150.9
158,1995-03-01,151.4
159,1995-04-01,151.9
160,1995-05-01,152.2
161,1995-06-01,152.5
162,1995-07-01,152.5
163,1995-08-01,152.9
164,1995-09-01,153.2
165,1995-10-01,153.7
166,1995-11-01,153.6
167,1995-12-01,153.5
168,1996-01-01,154.4
169,1996-02-01,154.9
170,1996-03-01,155.7
171,1996-04-01,156.3
172,1996-05-01,156.6
173,1996-06-01,156.7
174,1996-07-01,157.0
175,1996-08-01,157.3
176,1996-09-01,157.8
177,1996-10-01,158.3
178,1996-11-01,158.6
179,1996-12-01,158.6
180,1997-01-01,159.1
181,1997-02-01,159.6
182,1997-03-01,160.0
183,1997-04-01,160.2
184,1997-05-01,160.1
185,1997-06-01,160.3
186,1997-07-01,160.5
187,1997-08-01,160.8
188,1997-09-01,161.2
189,1997-10-01,161.6
190,1997-11-01,161.5
191,1997-12-01,161.3
192,1998-01-01,161.6
193,1998-02-01,161.9
194,1998-03-01,162.2
195,1998-04-01,162.5
196,1998-05-01,162.8
197,1998-06-01,163.0
198,1998-07-01,163.2
199,1998-08-01,163.4
200,1998-09-01,163.6
201,1998-10-01,164.0
202,1998-11-01,164.0
203,1998-12-01,163.9
204,1999-01-01,164.3
205,1999-02-01,164.5
206,1999-03-01,165.0
207,1999-04-01,166.2
208,1999-05-01,166.2
209,1999-06-01,166.2
210,1999-07-01,166.7
211,1999-08-01,167.1
212,1999-09-01,167.9
213,1999-10-01,168.2
214,1999-11-01,168.3
215,1999-12-01,168.3
216,2000-01-01,168.8
217,2000-02-01,169.8
218,2000-03-01,171.2
219,2000-04-01,171.3
220,2000-05-01,171.5
221,2000-06-01,172.4
222,2000-07-01,172.8
223,2000-08-01,172.8
224,2000-09-01,173.7
225,2000-10-01,174.0
226,2000-11-01,174.1
227,2000-12-01,174.0
228,2001-01-01,175.1
229,2001-02-01,175.8
230,2001-03-01,176.2
