,time,value
0,1994-01-01,2.9
1,1994-02-01,2.8
2,1994-03-01,2.5
3,1994-04-01,2.3
4,1994-05-01,2.8
5,1994-06-01,2.2
6,1994-07-01,2.4
7,1994-08-01,2.0
8,1994-09-01,1.8
9,1994-10-01,1.4
10,1994-11-01,1.6
11,1994-12-01,1.4
12,1995-01-01,1.5
13,1995-02-01,1.5
14,1995-03-01,1.4
15,1995-04-01,1.8
16,1995-05-01,1.9
17,1995-06-01,1.7
18,1995-07-01,1.7
19,1995-08-01,2.2
20,1995-09-01,2.4
21,1995-10-01,2.4
22,1995-11-01,2.5
23,1995-12-01,2.8
24,1996-01-01,2.7
25,1996-02-01,3.2
26,1996-03-01,3.2
27,1996-04-01,2.9
28,1996-05-01,2.8
29,1996-06-01,3.3
30,1996-07-01,3.4
31,1996-08-01,3.2
32,1996-09-01,2.9
33,1996-10-01,3.2
34,1996-11-01,3.0
35,1996-12-01,3.0
36,1997-01-01,2.9
37,1997-02-01,2.5
38,1997-03-01,2.6
39,1997-04-01,2.3
40,1997-05-01,2.4
41,1997-06-01,2.6
42,1997-07-01,2.4
43,1997-08-01,2.5
44,1997-09-01,2.1
45,1997-10-01,1.9
46,1997-11-01,1.6
47,1997-12-01,1.5
48,1998-01-01,1.5
49,1998-02-01,1.5
50,1998-03-01,1.6
51,1998-04-01,1.8
52,1998-05-01,1.6
53,1998-06-01,1.4
54,1998-07-01,1.3
55,1998-08-01,1.3
56,1998-09-01,1.4
57,1998-10-01,1.1
58,1998-11-01,1.3
59,1998-12-01,1.2
60,1999-01-01,1.4
61,1999-02-01,1.1
62,1999-03-01,0.8
63,1999-04-01,0.9
64,1999-05-01,1.2
65,1999-06-01,1.0
66,1999-07-01,1.1
67,1999-08-01,0.9
68,1999-09-01,0.4
69,1999-10-01,0.7
70,1999-11-01,0.6
71,1999-12-01,0.8
72,2000-01-01,0.6
73,2000-02-01,0.7
74,2000-03-01,1.1
75,2000-04-01,0.9
76,2000-05-01,0.9
77,2000-06-01,1.2
