,time,value
0,1982-01-01,9.5
1,1982-02-01,6.3
2,1982-03-01,4.3
3,1982-04-01,2.7
4,1982-05-01,2.8
5,1982-06-01,4.6
6,1982-07-01,4.8
7,1982-08-01,4.4
8,1982-09-01,3.6
9,1982-10-01,2.8
10,1982-11-01,2.3
11,1982-12-01,1.8
12,1983-01-01,1.0
13,1983-02-01,0.7
14,1983-03-01,0.7
15,1983-04-01,3.4
16,1983-05-01,3.8
17,1983-06-01,2.0
18,1983-07-01,1.5
19,1983-08-01,2.0
20,1983-09-01,2.7
21,1983-10-01,3.3
22,1983-11-01,3.6
23,1983-12-01,3.9
24,1984-01-01,4.4
25,1984-02-01,5.4
26,1984-03-01,6.8
27,1984-04-01,5.9
28,1984-05-01,5.4
29,1984-06-01,4.9
30,1984-07-01,4.1
31,1984-08-01,3.5
32,1984-09-01,3.4
33,1984-10-01,3.4
34,1984-11-01,3.2
35,1984-12-01,3.1
36,1985-01-01,2.8
37,1985-02-01,2.9
38,1985-03-01,3.2
39,1985-04-01,3.4
40,1985-05-01,2.9
41,1985-06-01,2.8
42,1985-07-01,2.9
43,1985-08-01,2.5
44,1985-09-01,1.9
45,1985-10-01,1.7
46,1985-11-01,2.2
47,1985-12-01,2.6
48,1986-01-01,3.0
49,1986-02-01,1.5
50,1986-03-01,-2.3
51,1986-04-01,-5.3
52,1986-05-01,-4.9
53,1986-06-01,-4.1
54,1986-07-01,-5.3
55,1986-08-01,-6.0
56,1986-09-01,-5.5
57,1986-10-01,-5.7
58,1986-11-01,-5.9
59,1986-12-01,-5.9
60,1987-01-01,-4.8
61,1987-02-01,-2.9
62,1987-03-01,0.3
63,1987-04-01,3.3
64,1987-05-01,2.9
65,1987-06-01,2.6
66,1987-07-01,4.5
67,1987-08-01,6.2
68,1987-09-01,6.1
69,1987-10-01,6.4
70,1987-11-01,6.5
71,1987-12-01,6.1
72,1988-01-01,4.4
73,1988-02-01,3.6
74,1988-03-01,3.1
75,1988-04-01,2.9
76,1988-05-01,3.2
77,1988-06-01,2.9
78,1988-07-01,2.7
79,1988-08-01,2.9
80,1988-09-01,2.9
81,1988-10-01,2.7
82,1988-11-01,2.7
83,1988-12-01,3.0
84,1989-01-01,3.7
85,1989-02-01,4.5
86,1989-03-01,5.1
87,1989-04-01,6.9
88,1989-05-01,7.3
89,1989-06-01,6.8
90,1989-07-01,6.0
91,1989-08-01,4.3
92,1989-09-01,3.6
93,1989-10-01,4.1
94,1989-11-01,3.9
95,1989-12-01,4.0
96,1990-01-01,5.5
97,1990-02-01,4.9
98,1990-03-01,4.4
99,1990-04-01,2.4
100,1990-05-01,1.5
101,1990-06-01,2.0
102,1990-07-01,2.6
103,1990-08-01,5.5
104,1990-09-01,8.2
105,1990-10-01,9.9
106,1990-11-01,10.3
107,1990-12-01,10.4
108,1991-01-01,7.1
109,1991-02-01,5.6
110,1991-03-01,4.7
111,1991-04-01,4.2
112,1991-05-01,4.8
113,1991-06-01,4.7
114,1991-07-01,4.2
115,1991-08-01,2.7
116,1991-09-01,0.7
117,1991-10-01,-1.4
118,1991-11-01,-1.5
119,1991-12-01,-1.5
120,1992-01-01,-0.8
121,1992-02-01,0.3
122,1992-03-01,1.7
123,1992-04-01,2.5
124,1992-05-01,2.4
125,1992-06-01,2.6
126,1992-07-01,3.1
127,1992-08-01,2.5
128,1992-09-01,2.4
129,1992-10-01,3.2
130,1992-11-01,3.4
131,1992-12-01,3.0
132,1993-01-01,3.7
133,1993-02-01,4.1
134,1993-03-01,3.7
135,1993-04-01,3.4
136,1993-05-01,3.1
137,1993-06-01,2.7
138,1993-07-01,2.4
139,1993-08-01,2.6
140,1993-09-01,2.6
141,1993-10-01,3.0
